activity_name,reference_product,reference_product_amount,material_type,country_or_region,subdivision,description,publication_year,citation,completedness_flag,input/output,compound_or_material,indicator_value,indicator_uom,compartment,comments
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Benzene,0.00010152,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Cadmium,0.000552,g,Soil,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Carbon Dioxide,0.034056,kg,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Carbon Dioxide,0.043368,kg,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Chrome,0.014256,g,Soil,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Copper,-0.003432,g,Soil,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Lead,-0.004152,g,Soil,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Methane,0.0017928,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Metolachlor,0.25752,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Metolachlor,0.25752,g,Water,
